State,Id,24_Pres,20_Pres,20-24_Pres,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct
LA,3,-0.53336441,-0.5112574,-0.525995406666667,0.72613178,0.27386822,0.18206172,0.04914593,0.00160426,0.02102105,0.02072719
LA,4,-0.32507432,-0.28715563,-0.312434756666667,0.5970402,0.4029598,0.3215719,0.04056152,0.00128243,0.01537234,0.02536352
LA,5,0.10054136,0.16225235,0.12111169,0.41175749,0.58824251,0.52183685,0.03978557,0.00091109,0.01725868,0.0129167
LA,6,-0.48008032,-0.49004211,-0.483400916666667,0.74333156,0.25666844,0.1539309,0.05820161,0.00096607,0.02162815,0.01981973
MA,1,0.25997018,0.33644313,0.285461163333333,0.72196777,0.27803223,0.07643149,0.15224525,0.00172365,0.04079411,0.01710695
MA,2,0.04979823,0.13094003,0.0768454966666667,0.75712025,0.24287975,0.06614401,0.11617857,0.00138228,0.03968512,0.01582883
MA,3,0.22201658,0.285646,0.243226386666667,0.7418532,0.2581468,0.04271122,0.06570146,0.00102327,0.11744693,0.0091948
MA,4,0.17487097,0.25436101,0.20136765,0.80503803,0.19496197,0.0449936,0.05057226,0.00103929,0.06168729,0.01015544
MA,5,0.61083215,0.66965932,0.630441206666667,0.66555748,0.33444252,0.06767755,0.07909693,0.00144578,0.16956327,0.00831436
MA,6,0.2116514,0.30068843,0.24133041,0.69675348,0.30324652,0.06024491,0.20294258,0.00146789,0.04027452,0.01364843
MA,7,0.44256558,0.57660308,0.487244746666667,0.43823472,0.56176528,0.22572666,0.20980278,0.00174911,0.11780281,0.01393378
MA,8,0.25198248,0.33830458,0.280756513333333,0.68254865,0.31745135,0.13748986,0.05161538,0.00117738,0.10239185,0.00902229
MA,9,0.1128858,0.19004236,0.138604653333333,0.83865389,0.16134611,0.04820281,0.05769367,0.0013323,0.01780163,0.01392557
MD,1,-0.16840356,-0.1445953,-0.160467473333333,0.74548719,0.25451281,0.15856709,0.04530253,0.00151744,0.03091652,0.01932344
MD,2,0.20666131,0.2340091,0.21577724,0.5988395,0.4011605,0.27174904,0.04846188,0.00120404,0.06926377,0.01453263
MD,3,0.24965075,0.26718847,0.255496656666667,0.58819066,0.41180934,0.21981801,0.08658863,0.00214219,0.0905263,0.0200401
MD,4,0.70365955,0.77609776,0.72780562,0.177855,0.822145,0.52532197,0.22814942,0.0016456,0.07342477,0.02553018
MD,5,0.3735523,0.42628931,0.391131303333333,0.36914757,0.63085243,0.51439864,0.07149539,0.00205981,0.03573517,0.02237896
MD,6,0.06171005,0.10109547,0.0748385233333333,0.64400334,0.35599666,0.13343453,0.10688574,0.00158465,0.10089908,0.01892244
MD,7,0.54150501,0.58516835,0.556059456666667,0.36283519,0.63716481,0.50931964,0.07079627,0.00123238,0.04745794,0.01893022
MD,8,0.5045828,0.55774803,0.522304543333333,0.50095327,0.49904673,0.14587061,0.16272086,0.00167178,0.1792676,0.01597663
ME,1,0.20157265,0.21224218,0.20512916,0.90388975,0.09611025,0.02952566,0.01855749,0.00105939,0.02069255,0.01810553
ME,2,-0.07017149,-0.03752752,-0.0592901666666667,0.92922385,0.07077615,0.01010524,0.01327075,0.00100909,0.01178765,0.02655587
MI,1,-0.20296,-0.18977926,-0.19856642,0.90665391,0.09334609,0.01441312,0.01641657,0.00105311,0.00857039,0.04540251
MI,2,-0.31514344,-0.29597745,-0.308754776666667,0.89497184,0.10502816,0.02580527,0.03772935,0.00079802,0.00844512,0.02527436
MI,3,0.08253202,0.08910323,0.0847224233333333,0.73902287,0.26097713,0.11771019,0.08821661,0.00114009,0.0349951,0.02141431
