id,NAME,TotalPop,PopDevPct,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,color,opacity
"2","2","727769","0.00018347","0.61616921","0.36659939","0.1613147","0.8386853","0.03120952","0.06589186","0.1755431","0.68201635","0.01852347","587417","0.24956982",#00008b,"0.5"
"1","1","797209","-0.00048051","0.32544438","0.65848799","0.91025835","0.08974165","0.01867904","0.04207661","0.00299502","0.01062891","0.01306622","615021","-0.33304361",#960018,"0.5"
"2","2","796846","-0.00093563","0.52540181","0.45602287","0.82417075","0.17582925","0.07324882","0.04879796","0.00219481","0.03382173","0.01561327","616911","0.06937894",#8484ff,"0.5"
"3","3","798163","0.00071559","0.51187833","0.46975616","0.80024472","0.19975528","0.05408503","0.0739565","0.00331301","0.05245738","0.01551294","606397","0.04212217",#a7a7ff,"0.5"
"4","4","798151","0.00070055","0.33212043","0.65067814","0.88306303","0.11693697","0.023968","0.054391","0.00232602","0.01428305","0.0190299","611774","-0.31855771",#960018,"0.5"
"2","2","919285","-0.00029145","0.40898809","0.56181611","0.79775065","0.20224935","0.01584683","0.11058837","0.00494954","0.03191278","0.03706711","698247","-0.15282802",#ff2020,"0.5"
"1","1","897508","0.00072475","0.32971237","0.64958411","0.90090465","0.09909535","0.04312889","0.01430743","0.00085972","0.01457643","0.02014244","721164","-0.31987174",#960018,"0.5"
"1","1","753930","0.00033577","0.54622708","0.43450687","0.523223","0.476777","0.39705217","0.05740695","0.00075941","0.01153007","0.01466887","583344","0.11172021",#2020ff,"0.5"
"2","2","753518","-0.00021089","0.54520824","0.43629623","0.48624281","0.51375719","0.36749244","0.12548967","0.0010593","0.00972805","0.01904511","581514","0.10891201",#2020ff,"0.5"
"3","3","754110","0.00057459","0.82053744","0.1542458","0.3098486","0.6901514","0.29914265","0.27802817","0.00159931","0.11291395","0.02478932","615265","0.66629164",#00008b,"0.5"
"4","4","754466","0.00104695","0.54341155","0.42577861","0.42916756","0.57083244","0.08120536","0.40739355","0.00112743","0.07630918","0.03259985","564113","0.11763294",#2020ff,"0.5"
"5","5","753532","-0.00019231","0.56050618","0.41492145","0.61312058","0.38687942","0.03096688","0.19518492","0.00131186","0.15508395","0.01728513","593053","0.14558473",#2020ff,"0.5"
"6","6","752991","-0.00091013","0.79995231","0.17669026","0.59844148","0.40155852","0.09846881","0.16296041","0.00155727","0.13062011","0.01805308","640223","0.62326205",#00008b,"0.5"
"7","7","754009","0.00044059","0.55231972","0.41971938","0.51242093","0.48757907","0.29134028","0.16532145","0.00094531","0.02394485","0.01680332","579707","0.13260034",#2020ff,"0.5"
"8","8","753335","-0.0004537","0.5513036","0.42964816","0.49952445","0.50047555","0.14762174","0.24017285","0.00123367","0.10593196","0.02434259","580382","0.12165544",#2020ff,"0.5"
"9","9","753188","-0.00064874","0.56596978","0.41189491","0.7437452","0.2562548","0.03780663","0.12498141","0.00101219","0.07788726","0.01653185","584871","0.15407487",#2020ff,"0.5"
"10","10","754500","0.00109206","0.55342998","0.42116108","0.63265285","0.36734715","0.07350974","0.20304915","0.00171308","0.07527321","0.02281043","575570","0.1322689",#2020ff,"0.5"
