id,NAME,TotalPop,PopDevPct,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,color,opacity
"5","5","768810","-0.00053199","0.52995152","0.45366916","0.46992048","0.53007952","0.35172022","0.10693848","0.00285216","0.06069977","0.01899882","599195","0.07628236",#7c7cff,"0.5"
"6","6","769976","0.00098384","0.34105843","0.64803529","0.73326531","0.26673469","0.093231","0.13217434","0.00172703","0.02070208","0.02165871","628246","-0.30697686",#960018,"0.5"
"7","7","769731","0.00066533","0.50535465","0.47669995","0.55781113","0.44218887","0.12416929","0.24273349","0.00239083","0.06869712","0.01855934","616940","0.0286547",#b9b9ff,"0.5"
"8","8","769602","0.00049763","0.38613824","0.59983946","0.75048392","0.24951608","0.10735183","0.08660065","0.00213083","0.0332749","0.02093372","635434","-0.21370122",#960018,"0.5"
"9","9","768697","-0.00067889","0.51430058","0.47032556","0.30199106","0.69800894","0.12761085","0.52325717","0.00313462","0.05461774","0.0191168","592097","0.04397502",#a5a5ff,"0.5"
"10","10","768586","-0.00082319","0.56226556","0.42135748","0.4029962","0.5970038","0.28605084","0.23018455","0.0026514","0.05961325","0.01690036","588745","0.14090808",#2020ff,"0.5"
"11","11","769849","0.00081873","0.33138184","0.65855489","0.77008432","0.22991568","0.07858793","0.10858445","0.00151178","0.02242064","0.01892657","648242","-0.32717305",#960018,"0.5"
"12","12","769906","0.00089283","0.37014615","0.61681563","0.76955128","0.23044872","0.05474199","0.12512502","0.00166316","0.03085069","0.01967191","625918","-0.24666948",#960018,"0.5"
"13","13","768405","-0.00105849","0.48439349","0.50095145","0.72485317","0.27514683","0.11465593","0.09651032","0.00183611","0.04386035","0.01839648","649744","-0.01655796",#ffc8c8,"0.5"
"14","14","768763","-0.00059309","0.53405075","0.44859962","0.42526785","0.57473215","0.23281795","0.29202476","0.00240025","0.05126955","0.01803093","602853","0.08545113",#7070ff,"0.5"
"15","15","768932","-0.00037338","0.43192036","0.55129984","0.55389499","0.44610501","0.12108404","0.25204741","0.00198898","0.0636457","0.01959054","594777","-0.11937948",#ff2020,"0.5"
"16","16","769853","0.00082393","0.39788905","0.59043724","0.78451184","0.21548816","0.05861161","0.11424615","0.00112505","0.02447286","0.0146871","650639","-0.19254819",#ff2020,"0.5"
"17","17","768659","-0.00072829","0.33707837","0.65306834","0.68797841","0.31202159","0.09101919","0.18633404","0.00123667","0.01840969","0.0166943","626681","-0.31598997",#960018,"0.5"
"18","18","768527","-0.00089989","0.37017014","0.61840139","0.60852946","0.39147054","0.133018","0.22248279","0.00169755","0.02373086","0.02112575","603813","-0.24823125",#960018,"0.5"
"19","19","768792","-0.00055539","0.33205493","0.65696307","0.71397929","0.28602071","0.05241636","0.20106862","0.00106707","0.01953781","0.01314154","647565","-0.32490814",#960018,"0.5"
"20","20","769818","0.00077843","0.39595197","0.59298647","0.69738334","0.30261666","0.12208756","0.1424043","0.00153819","0.02153936","0.01662192","630613","-0.1970345",#ff2020,"0.5"
"21","21","769091","-0.00016668","0.49903952","0.48820112","0.4534699","0.5465301","0.22769914","0.27993673","0.00188874","0.03497641","0.01781923","605694","0.0108384",#d0d0ff,"0.5"
"22","22","768932","-0.00037338","0.50947982","0.47840276","0.64392941","0.35607059","0.13294168","0.15594447","0.00128812","0.04247628","0.00917488","632706","0.03107706",#b6b6ff,"0.5"
"23","23","769547","0.00042613","0.64433432","0.34453491","0.34688239","0.65311761","0.3950282","0.21126613","0.00188633","0.03113014","0.01125034","620781","0.29979941",#00008b,"0.5"
"24","24","769777","0.00072513","0.50846254","0.47804889","0.43134985","0.56865015","0.13603783","0.36880518","0.00176615","0.05829282","0.01260182","611499","0.03041365",#b7b7ff,"0.5"
"25","25","768681","-0.00069969","0.68474535","0.30403673","0.09357731","0.90642269","0.50414504","0.39661845","0.00151832","0.02944018","0.0096155","601321","0.38070862",#00008b,"0.5"
"26","26","769698","0.00062243","0.48385395","0.50286909","0.27548594","0.72451406","0.08989653","0.60400414","0.00101412","0.02987356","0.00979014","637989","-0.01901514",#ffc5c5,"0.5"
"27","27","769748","0.00068743","0.29856323","0.69339752","0.05737905","0.94262095","0.03597869","0.90690379","0.00068378","0.01516601","0.00588931","634709","-0.39483429",#960018,"0.5"
"28","28","768545","-0.00087649","0.37577163","0.61486842","0.16275103","0.83724897","0.10917951","0.71675645","0.00098848","0.02292522","0.0118585","604967","-0.23909679",#960018,"0.5"
"1","1","765246","0.00014339","0.44201594","0.55221272","0.58640905","0.41359095","0.30020116","0.0660615","0.00302585","0.03109015","0.01974745","591570","-0.11019678",#ff2020,"0.5"
"2","2","764575","-0.00073358","0.54220999","0.45331784","0.43167619","0.56832381","0.4852552","0.05066403","0.00232214","0.02311605","0.01517288","588682","0.08889215",#6d6dff,"0.5"
"3","3","764851","-0.00037286","0.3249124","0.66962059","0.68246591","0.31753409","0.22812076","0.04772341","0.00102452","0.02195769","0.02012915","589543","-0.34470819",#960018,"0.5"
"4","4","764860","-0.00036109","0.80376581","0.18644363","0.25828271","0.74171729","0.57731238","0.09969496","0.00129023","0.06329497","0.01705331","585165","0.61732218",#00008b,"0.5"
"5","5","765740","0.00078903","0.84501848","0.14561104","0.3277","0.6723","0.56381485","0.05831077","0.00130608","0.04719459","0.01290599","620177","0.69940744",#00008b,"0.5"
"6","6","764960","-0.0002304","0.49820851","0.48850242","0.60526808","0.39473192","0.12460938","0.09285489","0.00126139","0.16091976","0.01440995","577934","0.00970609",#d1d1ff,"0.5"
"7","7","764584","-0.00072181","0.55283919","0.43425486","0.353272","0.646728","0.24712046","0.22853649","0.00162881","0.16730343","0.02171807","566671","0.11858433",#2020ff,"0.5"
"8","8","764887","-0.00032581","0.27865027","0.71830209","0.63054909","0.36945091","0.27583525","0.06888431","0.00122809","0.0115067","0.01673763","583834","-0.43965182",#960018,"0.5"
"9","9","765061","-9.84e-05","0.27059572","0.72227161","0.74504776","0.25495224","0.06964829","0.12863893","0.00110956","0.03185615","0.02576214","582211","-0.45167589",#960018,"0.5"
"10","10","765810","0.00088052","0.28848348","0.70548347","0.76000461","0.23999539","0.12426643","0.06524359","0.00112164","0.02712961","0.0219604","599124","-0.41699999",#960018,"0.5"
"11","11","766095","0.001253","0.60576761","0.38490242","0.44911561","0.55088439","0.35615187","0.13199774","0.00148806","0.04777991","0.02069427","592048","0.22086519",#00008b,"0.5"
